CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.939617) : (0.957754)) : (x<50 ? 0.966295:0.972978)) : (x<80 ? (x<70 ? 0.970467:0.973179) : (x<100 ? 0.974315:0.97416))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.98097:0.991071) : (0.993656)) : (x<320 ? 1.00218:1.00216)) : (x<670 ? (x<500 ? 1.00253:1.00052) : (x<800 ? 0.994422:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.948729) : (0.952324)) : (x<50 ? 0.947621:0.970324)) : (x<80 ? (x<70 ? 0.962235:0.974684) : (x<100 ? 0.96267:0.968656))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.986695:1.01443) : (1.01803)) : (x<320 ? 1.01664:1.07101)) : (x<670 ? (x<500 ? 1.071:1.12936) : (x<800 ? 1.1643:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10146) : (1.10415)) : (x<50 ? 1.11953:1.12352)) : (x<80 ? (x<70 ? 1.1389:1.12952) : (x<100 ? 1.12993:1.18347))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.21823:1.34559) : (1.37947)) : (x<320 ? 1.41464:1.45329)) : (x<670 ? (x<500 ? 1.59515:1.66622) : (x<800 ? 1.88548:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.938006) : (0.95374)) : (x<50 ? 0.963942:0.969033)) : (x<80 ? (x<70 ? 0.968757:0.970455) : (x<100 ? 0.96984:0.971126))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.979001:0.984726) : (0.988711)) : (x<320 ? 0.986841:0.992313)) : (x<670 ? (x<500 ? 0.997704:0.99299) : (x<800 ? 0.971536:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.935286) : (0.946721)) : (x<50 ? 0.941376:0.95606)) : (x<80 ? (x<70 ? 0.946287:0.956729) : (x<100 ? 0.959649:0.949656))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.985695:1.00824) : (1.00601)) : (x<320 ? 1.00407:1.06617)) : (x<670 ? (x<500 ? 1.06072:1.12317) : (x<800 ? 1.14385:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0722) : (1.08652)) : (x<50 ? 1.10704:1.12163)) : (x<80 ? (x<70 ? 1.11353:1.12638) : (x<100 ? 1.1247:1.15331))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.17822:1.32327) : (1.34226)) : (x<320 ? 1.37435:1.34592)) : (x<670 ? (x<500 ? 1.51584:1.53581) : (x<800 ? 1.65804:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.941227) : (0.961767)) : (x<50 ? 0.968648:0.976923)) : (x<80 ? (x<70 ? 0.972177:0.975902) : (x<100 ? 0.978789:0.977194))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.982939:0.997415) : (0.998602)) : (x<320 ? 1.01751:1.012)) : (x<670 ? (x<500 ? 1.00736:1.00805) : (x<800 ? 1.01731:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.962171) : (0.957928)) : (x<50 ? 0.953865:0.984587)) : (x<80 ? (x<70 ? 0.978184:0.992638) : (x<100 ? 0.965691:0.987656))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.987696:1.02062) : (1.03005)) : (x<320 ? 1.02921:1.07584)) : (x<670 ? (x<500 ? 1.08128:1.13556) : (x<800 ? 1.18474:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.13072) : (1.12179)) : (x<50 ? 1.13203:1.1254)) : (x<80 ? (x<70 ? 1.16426:1.13265) : (x<100 ? 1.13515:1.21363))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.25825:1.36792) : (1.41668)) : (x<320 ? 1.45492:1.56066)) : (x<670 ? (x<500 ? 1.67445:1.79663) : (x<800 ? 2.11292:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.915673) : (0.934214)) : (x<50 ? 0.940704:0.949483)) : (x<80 ? (x<70 ? 0.943863:0.94752) : (x<100 ? 0.944768:0.942951))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.949811:0.965844) : (0.957201)) : (x<320 ? 0.961157:0.959302)) : (x<670 ? (x<500 ? 0.933492:0.904701) : (x<800 ? 0.895342:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.941377) : (0.956259)) : (x<50 ? 0.933459:0.950801)) : (x<80 ? (x<70 ? 0.942336:0.93948) : (x<100 ? 0.938109:0.937094))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.945294:0.969829) : (0.951787)) : (x<320 ? 0.952294:1.07964)) : (x<670 ? (x<500 ? 1.00241:1.09443) : (x<800 ? 0.947216:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.15346) : (1.15638)) : (x<50 ? 1.2023:1.26609)) : (x<80 ? (x<70 ? 1.22805:1.22852) : (x<100 ? 1.27661:1.36511))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.47676:1.67028) : (1.64585)) : (x<320 ? 1.85763:2.08182)) : (x<670 ? (x<500 ? 2.30033:2.56248) : (x<800 ? 2.79546:0)))" 
