CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.938048) : (0.955119)) : (x<50 ? 0.963608:0.968848)) : (x<80 ? (x<70 ? 0.96897:0.971242) : (x<100 ? 0.969851:0.970831))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.978884:0.98554) : (0.988275)) : (x<320 ? 0.992368:0.991202)) : (x<670 ? (x<500 ? 0.997388:0.998183) : (x<800 ? 1.00503:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.939224) : (0.948362)) : (x<50 ? 0.952036:0.960238)) : (x<80 ? (x<70 ? 0.950958:0.961988) : (x<100 ? 0.960533:0.955221))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.985988:1.01005) : (1.00953)) : (x<320 ? 1.02553:1.06759)) : (x<670 ? (x<500 ? 1.07827:1.12498) : (x<800 ? 1.14984:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08077) : (1.09168)) : (x<50 ? 1.1107:1.12219)) : (x<80 ? (x<70 ? 1.12096:1.13173) : (x<100 ? 1.13362:1.16215))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.24653:1.36138) : (1.40578)) : (x<320 ? 1.44312:1.52921)) : (x<670 ? (x<500 ? 1.65122:1.75844) : (x<800 ? 2.0463:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.891119) : (0.907342)) : (x<50 ? 0.915408:0.920385)) : (x<80 ? (x<70 ? 0.920498:0.922653) : (x<100 ? 0.92134:0.92226))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.92991:0.936194) : (0.93865)) : (x<320 ? 0.942252:0.940581)) : (x<670 ? (x<500 ? 0.945183:0.944071) : (x<800 ? 1.00503:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.845256) : (0.853487)) : (x<50 ? 0.856789:0.864164)) : (x<80 ? (x<70 ? 0.855802:0.865715) : (x<100 ? 0.864428:0.859615))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.887302:0.908845) : (0.907972)) : (x<320 ? 0.921585:0.958253)) : (x<670 ? (x<500 ? 0.966549:1.00353) : (x<800 ? 1.14984:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.756517) : (0.764161)) : (x<50 ? 0.777466:0.785503)) : (x<80 ? (x<70 ? 0.784637:0.792167) : (x<100 ? 0.793503:0.813445))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.872512:0.95285) : (0.983748)) : (x<320 ? 1.0096:1.0694)) : (x<670 ? (x<500 ? 1.15383:1.22655) : (x<800 ? 2.0463:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.984977) : (1.0029)) : (x<50 ? 1.01181:1.01731)) : (x<80 ? (x<70 ? 1.01744:1.01983) : (x<100 ? 1.01836:1.0194))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.02786:1.03489) : (1.0379)) : (x<320 ? 1.04248:1.04182)) : (x<670 ? (x<500 ? 1.04959:1.0523) : (x<800 ? 1.00503:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03319) : (1.04324)) : (x<50 ? 1.04728:1.05631)) : (x<80 ? (x<70 ? 1.04611:1.05826) : (x<100 ? 1.05664:1.05083))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.08467:1.11126) : (1.11108)) : (x<320 ? 1.12948:1.17693)) : (x<670 ? (x<500 ? 1.18999:1.24644) : (x<800 ? 1.14984:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.40502) : (1.4192)) : (x<50 ? 1.44393:1.45887)) : (x<80 ? (x<70 ? 1.45728:1.4713) : (x<100 ? 1.47374:1.51085))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.62054:1.76991) : (1.82782)) : (x<320 ? 1.87664:1.98902)) : (x<670 ? (x<500 ? 2.14862:2.29032) : (x<800 ? 2.0463:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.914613) : (0.931305)) : (x<50 ? 0.938379:0.943295)) : (x<80 ? (x<70 ? 0.942232:0.94484) : (x<100 ? 0.94042:0.938934))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.94917:0.952409) : (0.947929)) : (x<320 ? 0.948425:0.934162)) : (x<670 ? (x<500 ? 0.93332:0.921476) : (x<800 ? 0.923673:0)))" 
