OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.739298*((1.+(0.246478*x))/(1.+(0.182608*x)))" 
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.739298*((1.+(0.246478*x))/(1.+(0.182608*x)))" 
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.046577334403991699" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.014726463705301285" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0099187940359115601" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0082256272435188293" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0079520279541611671" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.007140597328543663" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.017714222893118858" 
0, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.027430163696408272" 
0, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.038659125566482544" 
0, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.02328866720199585" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0073632318526506424" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.00495939701795578" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0041128136217594147" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0039760139770805836" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0035702986642718315" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.0088571114465594292" 
0, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.013715081848204136" 
0, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))-0.019329562783241272" 
0, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))+0.046577334403991699" 
0, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.739298*((1.+(0.246478*x))/(1.+(0.182608*x))))+0.014726463705301285" 
