DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.984221) : (0.985681)) : (x<50 ? 0.987565:0.987451)) : (x<100 ? (x<80 ? (x<70 ? 0.989317:0.988338) : (0.988633)) : (x<120 ? 0.988218:0.991585))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.995397:0.997525) : (1.00392)) : (x<400 ? 1.01292:1.02172)) : (x<800 ? (x<670 ? 1.03112:1.03273) : (x<1000 ? 1.03576:0)))"
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01411) : (1.01432)) : (x<50 ? 1.01368:1.01719)) : (x<100 ? (x<80 ? (x<70 ? 1.02116:1.02359) : (1.02395)) : (x<120 ? 1.02556:1.04195))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.06127:1.07505) : (1.0966)) : (x<400 ? 1.17756:1.17451)) : (x<800 ? (x<670 ? 1.27234:1.41051) : (x<1000 ? 1.21668:0)))"
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.38135) : (1.47141)) : (x<50 ? 1.51421:1.54503)) : (x<100 ? (x<80 ? (x<70 ? 1.55536:1.56236) : (1.56789)) : (x<120 ? 1.56452:1.63368))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.74293:1.88478) : (1.9576)) : (x<400 ? 2.11682:2.27522)) : (x<800 ? (x<670 ? 2.66713:3.25287) : (x<1000 ? 3.3393:0)))"
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.982444) : (0.984058)) : (x<50 ? 0.985988:0.985849)) : (x<100 ? (x<80 ? (x<70 ? 0.98763:0.986525) : (0.987163)) : (x<120 ? 0.986397:0.98976))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992617:0.992692) : (0.996526)) : (x<400 ? 1.00199:1.00505)) : (x<800 ? (x<670 ? 1.00858:0.988677) : (x<1000 ? 0.976295:0)))"
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01099) : (1.01105)) : (x<50 ? 1.01018:1.01338)) : (x<100 ? (x<80 ? (x<70 ? 1.01691:1.01885) : (1.01998)) : (x<120 ? 1.02051:1.03683))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05351:1.06167) : (1.07619)) : (x<400 ? 1.14799:1.13829)) : (x<800 ? (x<670 ? 1.21706:1.25018) : (x<1000 ? 1.00147:0)))"
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.37846) : (1.46772)) : (x<50 ? 1.50953:1.53924)) : (x<100 ? (x<80 ? (x<70 ? 1.54852:1.55443) : (1.56107)) : (x<120 ? 1.55577:1.62467))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.72939:1.86197) : (1.92567)) : (x<400 ? 2.07277:2.2139)) : (x<800 ? (x<670 ? 2.57054:2.9961) : (x<1000 ? 2.97497:0)))"
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.985997) : (0.987305)) : (x<50 ? 0.989143:0.989052)) : (x<100 ? (x<80 ? (x<70 ? 0.991004:0.99015) : (0.990102)) : (x<120 ? 0.99004:0.993411))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.998176:1.00236) : (1.01131)) : (x<400 ? 1.02385:1.03839)) : (x<800 ? (x<670 ? 1.05367:1.07679) : (x<1000 ? 1.09522:0)))"
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01723) : (1.01759)) : (x<50 ? 1.01717:1.02101)) : (x<100 ? (x<80 ? (x<70 ? 1.0254:1.02833) : (1.02792)) : (x<120 ? 1.0306:1.04707))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.06902:1.08843) : (1.11701)) : (x<400 ? 1.20712:1.21072)) : (x<800 ? (x<670 ? 1.32763:1.57084) : (x<1000 ? 1.4319:0)))"
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.38423) : (1.47511)) : (x<50 ? 1.51889:1.55082)) : (x<100 ? (x<80 ? (x<70 ? 1.5622:1.57028) : (1.57472)) : (x<120 ? 1.57326:1.64269))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.75646:1.90758) : (1.98953)) : (x<400 ? 2.16087:2.33655)) : (x<800 ? (x<670 ? 2.76372:3.50964) : (x<1000 ? 3.70362:0)))"
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.949789) : (0.953527)) : (x<50 ? 0.956042:0.957326)) : (x<100 ? (x<80 ? (x<70 ? 0.957327:0.955454) : (0.954706)) : (x<120 ? 0.951533:0.95375))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.957439:0.952836) : (0.96374)) : (x<400 ? 0.968426:0.987842)) : (x<800 ? (x<670 ? 1.00131:0.967204) : (x<1000 ? 0.978518:0)))"
